:addin:             -> adding
relevence           -> relevance
relevent            -> relevant
reliablity          -> reliability
relient             -> reliant
religeous           -> religious
religous            -> religious
relinqush           -> relinquish
relitavely          -> relatively
relized             -> realised
relpacement         -> replacement
remaing             -> remaining
remeber             -> remember
rememberable        -> memorable
rememberance        -> remembrance
remembrence         -> remembrance
remenant            -> remnant
remenicent          -> reminiscent
reminent            -> remnant
reminescent         -> reminiscent
reminscent          -> reminiscent
reminsicent         -> reminiscent
rendevous           -> rendezvous
rendezous           -> rendezvous
renedered           -> rende
renewl              -> renewal
rennovate           -> renovate
rennovating         -> renovating
rennovation         -> renovation
rentors             -> renters
reoccurrence        -> recurrence
reorganision        -> reorganisation
repblic:            -> republic
repblican           -> republican
repblics            -> republics
repectively         -> respectively
repeition           -> repetition
repentence          -> repentance
repentent           -> repentant
repeteadly          -> repeatedly
repetion            -> repetition
repitition          -> repetition
reponse             -> response
reponsible          -> responsible
reportadly          -> reportedly
represantative      -> representative
representive        -> representative
reproducable        -> reproducible
reprot              -> report
reprtoire           -> repertoire
repsectively        -> respectively
reptition           -> repetition
repubic:            -> republic
repubican           -> republican
repubics            -> republics
republi:            -> republic
republian:          -> republican
:republis           -> republics
repulic:            -> republic
repulican           -> republican
repulics            -> republics
requirment          -> requirement
requred             -> required
resaurant           -> restaurant
resembelance        -> resemblance
resembes            -> resembles
resemblence         -> resemblance
resevoir            -> reservoir
residental          -> residential
resignement         -> resignment
resistable          -> resistible
resistence          -> resistance
resistent           -> resistant
respectivly         -> respectively
responce            -> response
responibilities     -> responsibilities
responisble         -> responsible
responnsibilty      -> responsibility
responsability      -> responsibility
responsibile        -> responsible
responsibilites     -> responsibilities
responsiblities     -> responsibilities
responsiblity       -> responsibility
ressemblance        -> resemblance
ressemble:          -> resemble
ressemblence        -> resemblance
ressembling         -> resembling
resssurecting       -> resurrecting
ressurect           -> resurrect
ressurrection       -> resurrection
restarant           -> restaurant
restaraunt          -> restaurant
restauration        -> restoration
restauraunt         -> restaurant
resteraunt          -> restaurant
resticted           -> restricted
resturant           -> restaurant
resturaunt          -> restaurant
resurecting         -> resurrecting
resutl              -> result
retalitated         -> retaliated
retalitation        -> retaliation
retreive            -> retrieve
retrun              -> return
retun               -> return
returnd             -> returned
reuslt              -> result
reutrn              -> return
revaluated          -> reevaluated
reveiw              -> review
reveral             -> reversal
reversable          -> reversible
revolutionar:       -> revolutionary
rewitten            -> rewritten
rgeards             -> Regards
rhymme              -> rhyme
rhythem             -> rhythm
rhythim             -> rhythm
rhytmic             -> rhythmic
rigourous           -> rigorous
rininging           -> ringing
rocord              -> record
roomate             -> roommate
rougly              -> roughly
rucuperate          -> recuperate
rudimentatry        -> rudimentary
rulle               -> rule
:runing             -> running
runnung             -> running
rwite               -> write
rythem              -> rhythm
rythim              -> rhythm
rythm               -> rhythm
saftey              -> safety
safty               -> safety
sandwhich           -> sandwich
satisifed           -> satisfied
saught              -> sought
scaleable           -> scalable
scheduel            -> schedule
scientfic           -> scientific
scientifc           -> scientific
scientis:           -> scientist
scince              -> science
scinece             -> science
scirpt              -> script
seach               -> search
secratary           -> secretary
secretery           -> secretary
seeked              -> sought
segementation       -> segmentation
seige               -> siege
:seing              -> seeing
seinor              -> senior
senarios            -> scenarios
senstive            -> sensitive
sensure             -> censure
sentance            -> sentence
seperat:            -> separate
seperate            -> separate
sequnce             -> sequence
sergent             -> sergeant
settelement         -> settlement
settlment           -> settlement
severeal            -> several
severley            -> severely
severly             -> severely
sevice              -> service
shaddow             -> shadow
sheild              -> shield
sherif:             -> sheriff
shineing            -> shining
:shiped             -> shipped
:shiping            -> shipping
sholud              -> should
shopkeeepers        -> shopkeepers
shorly              -> shortly
shoudl              -> should
shreak              -> shriek
shrinked            -> shrunk
shure               -> sure
shutdonw            -> shutdown
shutodwn            -> shutdown
sicne               -> since
siezure             -> seizure
siginificant        -> significant
signficant          -> significant
signficiant         -> significant
signifigant         -> significant
similarily          -> similarly
similiar            -> similar
simmilar            -> similar
simpley             -> simply
simplier            -> simpler
simultanous         -> simultaneous
sincerley           -> sincerely
singed              -> signed
singel              -> single
sinse               -> since
skateing            -> skating
slighly             -> slightly
slippy              -> slippery
slowy               -> slowly
smealting           -> smelting
sneek:              -> sneak
sofware             -> software
solatary            -> solitary
soley               -> solely
solice              -> solace
soliders            -> soldiers
somehwat            -> somewhat
:somene             -> someone
somtimes            -> sometimes
somwhere            -> somewhere
sophicated          -> sophisticated
sorceror            -> sorcerer
sotry               -> story
soudn               -> sound
sountrack           -> soundtrack
sourthern           -> southern
souvenier           -> souvenir
soveits             -> soviets
sovereignity        -> sovereignty
soverignity         -> sovereignty
soverignty          -> sovereignty
speach              -> speech
specfic             -> specific
spectogram          -> spectrogram
spectum             -> spectrum
speices             -> species
spendour            -> splendour
spoace              -> space
sponser             -> sponsor
spontanous          -> spontaneous
sponzor             -> sponsor
spred               -> spread
spriritual          -> spiritual
spritual            -> spiritual
sqaure              -> square
stablility          -> stability
stainlees           -> stainless
staion              -> station
standars            -> standards
stange              -> strange
startegic           -> strategic
startegies          -> strategies
startegy            -> strategy
statememts          -> statements
statment            -> statement
sterotypes          -> stereotypes
stilus              -> stylus
stirng              -> string
stlye               -> style
stomache            -> stomach
stong               -> strong
storeis             -> stories
storise             -> stories
stornegst           -> strongest
stoyr               -> story
stradegies          -> strategies
stradegy            -> strategy
stregth             -> strength
strengh             -> strength
strenous            -> strenuous
strign              -> string
strnad              -> strand
structual           -> structural
stubborness         -> stubbornness
stucture            -> structure
studdy              -> study
studing             -> studying
stuggling           -> struggling
sturcture           -> structure
subdivisio:         -> subdivision
subjudgation        -> subjugation
submachne           -> submachine
subsidary           -> subsidiary
subsiduary          -> subsidiary
subsquent           -> subsequent
substace            -> substance
substancial         -> substantial
substatial          -> substantial
substituded         -> substituted
substract           -> subtract
succsess            -> success
suceed:             -> succeed
sucesful:           -> successful
sucesfuly           -> successfully
sucess:             -> success
sucessfuly          -> successfully
sucession           -> succession
sucessor            -> successor
sucessot            -> successor
sucide              -> suicide
sucidial            -> suicidal
sudent              -> student
sufferage           -> suffrage
sufficent           -> sufficient
sugest              -> suggest
sumary              -> summary
supercede           -> supersede
superceeded         -> superseded
supose              -> suppose
suppoed             -> supposed
supposingly         -> supposedly
suprise             -> surprise
suprize             -> surprise
suround             -> surround
surpress            -> suppress
surprize            -> surprise
swaer               -> swear
swithc              -> switch
swtich              -> switch
symetrical          -> symmetrical
sytem               -> system
sytle               -> style
tahn:               -> than
taht:               -> that
talekd              -> talked
targetted           -> targeted
targetting          -> targeting
tatoo               -> tattoo
tattooes            -> tattoos
teached             -> taught
teamplate           -> template
techician           -> technician
technitian          -> technician
temerature          -> temperature
tempalte            -> template
tenacle             -> tentacle
tendacy             -> tendency
tendancies          -> tendencies
tendancy            -> tendency
theather            -> theater
theese              -> these
theif               -> thief
theives             -> thieves
therfore            -> therefore
thign               -> thing
thigsn              -> things
thikn               -> think
thiunk              -> think
thnig               -> thing
thoughout           -> throughout
threatend           -> threatened
threee              -> three
thresold            -> threshold
:thrid              -> third
thsoe               -> those
tht:                -> that
thyat               -> that
tihkn               -> think
timne               -> time
tkaes               -> takes
tkaing              -> taking
tlaking             -> talking
todya               -> today
toghether           -> together
tolerence           -> tolerance
:tomatos            -> tomatoes
tommorow            -> tomorrow
tommorrow           -> tomorrow
tongiht             -> tonight
tortise             -> tortoise
tounge              -> tongue
towords             -> towards
towrad              -> toward
tradionally         -> traditionally
traditionaly        -> traditionally
traditionnal        -> traditional
traditition         -> tradition
tradtionally        -> traditionally
trafic              -> traffic
tranform            -> transform
tranpose            -> transpose
transcendance       -> transcendence
transcendant        -> transcendent
trigered            -> triggered
triology            -> trilogy
troling             -> trolling
troup:              -> troupe
truely              -> truly
twelth              -> twelfth
tyhat               -> that
typcial             -> typical
typicaly            -> typically
tyrany              -> tyranny
tyrrany             -> tyranny
udpate              -> update
ultimely            -> ultimately
unahppy             -> unhappy
unanymous           -> unanimous
undoubtely          -> undoubtedly
unecessary          -> unnecessary
unqiue              -> unique
useage              -> usage
useing              -> using
usualy              -> usually
ususally            -> usually
vaccum:             -> vacuum
vaccume             -> vacuum
vaccuum             -> vacuum
vaieties            -> varieties
vailidty            -> validity
valuble             -> valuable
valueable           -> valuable
varient             -> variant
variey              -> variety
varing              -> varying
varities            -> varieties
varity:             -> variety
vegatarian          -> vegetarian
vegitable           -> vegetable
vegtable            -> vegetable
venemous            -> venomous
vengance            -> vengeance
vengence            -> vengeance
verfication         -> verification
verison             -> version
versitilaty         -> versatility
versitlity          -> versatility
verticies           -> vertices
vigilence           -> vigilance
vigourous           -> vigorous
villify             -> vilify
vincinity           -> vicinity
violentce           -> violence
virtualy            -> virtually
virutal:            -> virtual
virutally           -> virtually
:visably            -> visibly
visious             -> vicious
visting             -> visiting
vistors             -> visitors
vitories            -> victories
vitual              -> virtual
volontary           -> voluntary
volonteer           -> volunteer
volounteer          -> volunteer
volumne             -> volume
vreity              -> variety
vulnerablility      -> vulnerability
whcih               -> which
whereever           -> wherever
wherre              -> where
whihc               -> which
whlch               -> which
widht               -> width
wierd               -> weird
wihch               -> which
worls               -> world
woudl               -> would
wriet               -> write
writen              -> written
wroet               -> wrote
wupport             -> support
yaeh                -> yeah
yeasr               -> years
yeild               -> yield
yersa               -> years
youself             -> yourself
